"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","Successful login via API","","2025-12-23","broken","2025-12-23","","","",""
"","30491","Successful login","","2025-12-23","broken","2025-12-23","","","",""
